episode,total_reward,reward_per_step,rolling_20ep,best_cumul,throughput_err,sinr_dl_err,sinr_ul_err,delay_err,bler_err,algo
238,-46.0082,-0.35944,-45.5142,-43.5202,1.06853,0.00183,3.9705,0.006572,0.010758,ppo
239,-43.7029,-0.34143,-45.4057,-43.5202,1.06814,0.00162,3.61267,0.006649,0.008076,ppo
240,-45.3862,-0.35458,-45.3759,-43.5202,1.06762,0.00175,3.87703,0.006336,0.009058,ppo
241,-46.1397,-0.36047,-45.5061,-43.5202,1.06797,0.0014,3.98631,0.013786,0.009802,ppo
242,-45.2663,-0.35364,-45.4783,-43.5202,1.06911,0.00146,3.84723,0.013163,0.009182,ppo
243,-46.0082,-0.35944,-45.4799,-43.5202,1.06729,0.0015,3.97307,0.00801,0.01081,ppo
244,-44.0696,-0.34429,-45.4051,-43.5202,1.06721,0.00165,3.67276,0.006568,0.008115,ppo
245,-45.8995,-0.35859,-45.4,-43.5202,1.06762,0.00161,3.95487,0.007783,0.011631,ppo
246,-45.8282,-0.35803,-45.4757,-43.5202,1.06842,0.00172,3.9413,0.007504,0.012233,ppo
247,-45.7895,-0.35773,-45.5256,-43.5202,1.06787,0.00176,3.9369,0.007349,0.012481,ppo
